idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
11,riesling mos,Store F,open,Region-specific wine,200,27.6,Вино игристое riesling mosel «Rieslinghaus» 750мл | Вино игристое riesling mosel «Rieslinghaus» 1500мл | Вино игристое riesling mosel «Mosel Craft» 1500мл | Вино игристое riesling mosel «Mosel Craft» 750мл | Вино игристое riesling mosel «Premium Cellar» 750мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0233 | P0759 | P0125 | P0447 | P0109,5,,1
12,памперсы 3,Store D,open,Size constraint,200,45.5,Подгузники детские размер 3 «EcoBaby» 60шт | Подгузники детские размер 3 «EcoBaby» 32шт | Подгузники детские размер 2 «PampKids» 32шт | Подгузники детские размер 2 «EcoBaby» 32шт | Фольга алюминиевая 30м «DailyFix» 1шт,Детские товары | Детские товары | Детские товары | Детские товары | Хозяйственные товары,P0144 | P0682 | P0300 | P0704 | P0264,5,,1
13,масло сл,Store A,open,Two-letter stop,200,56.0,Масло сливочное безлактозное «Teos» 1кг | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное фермерское «Teos» 225г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0116 | P0544 | P0713 | P0809 | P0944,5,,1
14,филе инд,Store A,open,Protein intent,200,31.9,Филе грудки индейки HoReCa «FarmLine» 5кг | Филе грудки индейки в маринаде «ProteinPro» 700г | Филе грудки индейки для стейков «ProteinPro» 700г | Филе грудки индейки охлажденное «ProteinPro» 5кг | Филе грудки индейки HoReCa «FarmLine» 700г,Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица,P0004 | P0135 | P0195 | P0288 | P0291,5,,1
15,teos,Store A,open,Brand prefix,200,21.4,Масло сливочное безлактозное «Teos» 1кг | Йогурт греческий персик «Teos» 900г | Йогурт греческий черника «Teos» 140г | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0116 | P0284 | P0304 | P0544 | P0713,5,,1
16,греч не,Store C,open,Cyrillic split,200,57.3,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий без сахара «Ionian» 500г | Йогурт греческий черника «Mediterran» 140г | Йогурт греческий персик «Mediterran» 900г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0057 | P0164 | P0243,5,,0
17,prosecco ro,Store F,open,Latin multi-word,200,58.7,Вино игристое prosecco «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 750мл | Вино игристое rose «Prosecco Alto» 1500мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0110 | P0183 | P0292 | P0090 | P0643,5,,1
18,джин то,Store F,open,Cocktail ingredient,200,65.6,Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный grapefruit «Garage Barrel» 500мл | Джин премиальный grapefruit «Nordic Gin» 700мл | Джин премиальный grapefruit «Volt Spirit» 1000мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0083 | P0095 | P0560 | P0955 | P0962,5,,1
19,хозяйст мыло,Store D,open,Household goods,200,19.5,,,,0,,0
20,power bank 20,Store E,open,Numeric suffix,200,22.2,Power Bank 20000mAh «PowerStack» 1шт | Power Bank 20000mAh «HyperCell» 1шт | Power Bank 20000mAh «VoltEdge» 1шт | Power Bank slim «PowerStack» 1шт | Power Bank slim «HyperCell» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0714 | P0122 | P0197 | P0925 | P0068,5,,1
