idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
15,xfq,,,Keyboard layout swap (ч = x),200,5.5,Чай листовой чёрный «Samokat» 90г | Чай листовой матча «Ahmad» 75г | Чай листовой улун «Ahmad» 250г | Чай листовой жасмин «Greenfield» 250г | Чай листовой жасмин «Greenfield» 75г,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай,P0105 | P0207 | P0276 | P0307 | P0337,10,,
16,xfqd crfxf,,,Entire phrase mis-keyboarded,200,4.7,,,,0,,
17,adapter usb c,,,Latin alphanumeric,200,6.4,Адаптер USB-C 35W «TechNode» 1шт | Кабель USB-C PD 100W «ChargeLab» 1шт | Адаптер USB-C 65W «ChargeLab» 1шт | Адаптер USB-C gan «VoltEdge» 1шт | Кабель USB-C 1м «VoltEdge» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0013 | P0039 | P0045 | P0072 | P0093,10,,
18,power bank 20,,,Number suffix as intent,200,7.5,Фиточай мята «Altai» 20саше | Фиточай ромашка «Altai» 20саше | Фиточай ромашка «Altai» 20саше | Фиточай детокс «HerbalMix» 20саше | Фиточай успокаивающий «Greenfield» 20саше,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай,P0056 | P0156 | P0411 | P0553 | P0595,10,,
19,cat steril,,,Sourced from Samokat/Dixy logs,200,7.5,Корм для кошек сухой adult «NordPet» 1500г | Корм для кошек сухой adult «NordPet» 400г | Корм для кошек сухой adult «CatCraft» 1500г | Корм для кошек сухой sterilised «PerfectTail» 400г | Корм для кошек сухой hairball «NordPet» 400г,Зоотовары | Зоотовары | Зоотовары | Зоотовары | Зоотовары,P0251 | P0772 | P0947 | P0022 | P0091,10,,
20,dog hypo,,,Shorter than real phrase,200,7.9,Корм для собак гипоаллергенный grain free «VetPro» 1500г | Корм для собак гипоаллергенный salmon «NordPet» 1500г | Корм для собак гипоаллергенный salmon «NordPet» 800г | Корм для собак гипоаллергенный grain free «VetPro» 1500г | Корм для собак гипоаллергенный medium «VetPro» 1500г,Зоотовары | Зоотовары | Зоотовары | Зоотовары | Зоотовары,P0082 | P0138 | P0148 | P0212 | P0275,10,,
21,diap night,,,Common for zero-hits,200,5.8,Подгузники ночные «BabySoft Night» 64шт,Детские товары,P1002,1,,
22,лампа led е27,,,Roman+Kirill letters plus socket,200,6.0,Лампа LED E14 «Luma» 4шт | Лампа LED smart «BrightHome» 1шт | Лампа LED теплый «Volt» 2шт | Лампа LED E14 «BrightHome» 2шт | Лампа LED холодный «EcoLight» 4шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0155 | P0189 | P0203 | P0282 | P0427,10,,
23,мешки 120л,,,Numeric prefix for packaging,200,8.3,Пакеты для мусора 120л «CleanUp» 30шт | Пакеты для мусора 120л «DailyFix» 15шт | Пакеты для мусора 120л «StrongHold» 50шт | Пакеты для мусора 120л «DailyFix» 30шт | Пакеты для мусора 120л «CleanUp» 20шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0216 | P0580 | P0607 | P0722 | P0898,5,,
24,санпел,,,Harsh truncation of sparkling brand,200,4.4,Минеральная вода citrus «San Pellegrino» 1.5л,Напитки,P0789,1,,
25,джин то,,,Needs partial matching on 2nd term,200,5.2,Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный botanical «Volt Spirit» 700мл | Джин премиальный citrus «Nordic Gin» 700мл | Джин премиальный botanical «Garage Barrel» 500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0083 | P0095 | P0178 | P0236 | P0403,10,,
