idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
11,riesling mos,Store F,open,Region-specific wine,200,15.2,Вино игристое riesling mosel «Rieslinghaus» 750мл | Вино игристое riesling mosel «Rieslinghaus» 1500мл | Вино игристое riesling mosel «Premium Cellar» 750мл | Вино игристое riesling mosel «Mosel Craft» 750мл | Вино игристое riesling mosel «Mosel Craft» 1500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0233 | P0759 | P0109 | P0447 | P0125,5,,1
12,памперсы 3,Store D,open,Size constraint,200,8.6,Подгузники детские размер 2 «PampKids» 32шт | Подгузники детские ночные «PampKids» 96шт | Подгузники детские размер 3 «EcoBaby» 32шт | Подгузники детские размер 2 «EcoBaby» 32шт | Подгузники детские размер 3 «EcoBaby» 60шт,Детские товары | Детские товары | Детские товары | Детские товары | Детские товары,P0300 | P0131 | P0682 | P0704 | P0144,5,,1
13,масло сл,Store A,open,Two-letter stop,200,11.9,Масло сливочное премиум «Polar Valley» 180г | Масло сливочное премиум «Teos» 200г | Масло сливочное фермерское «Teos» 225г | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное безлактозное «Teos» 1кг,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0312 | P0544 | P0944 | P0116 | P0713,5,,1
14,филе инд,Store A,open,Protein intent,200,11.9,Филе грудки индейки HoReCa «FarmLine» 5кг | Филе грудки индейки HoReCa «FarmLine» 5кг | Филе грудки индейки HoReCa «FarmLine» 700г | Филе грудки индейки HoReCa «FarmLine» 500г | Филе грудки индейки HoReCa «ProteinPro» 700г,Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица,P0004 | P0959 | P0291 | P0982 | P0372,5,,1
15,teos,Store A,open,Brand prefix,200,12.1,Йогурт греческий персик «Teos» 900г | Масло сливочное премиум «Teos» 200г | Йогурт греческий черника «Teos» 140г | Йогурт греческий черника «Teos» 900г | Йогурт греческий protein «Teos» 140г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0284 | P0544 | P0304 | P0726 | P0798,5,,1
16,греч не,Store C,open,Cyrillic split,200,13.6,Масло подсолнечное нерафинированное «Golden Field» 500мл | Минеральная вода негазированная «Aqua Pura» 750мл | Минеральная вода негазированная «Aqua Pura» 1000мл | Минеральная вода негазированная «Arctic Light» 500мл | Минеральная вода негазированная «Arctic Light» 1000мл,Бакалея | Напитки | Напитки | Напитки | Напитки,P0008 | P0995 | P0224 | P0134 | P0958,5,,1
17,prosecco ro,Store F,open,Latin multi-word,200,29.8,Вино игристое prosecco «Prosecco Alto» 750мл | Вино игристое prosecco «Prosecco Alto» 1500мл | Вино игристое rose «Prosecco Alto» 1500мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0183 | P0110 | P0292 | P0090 | P0643,5,,1
18,джин то,Store F,open,Cocktail ingredient,200,18.9,Джин премиальный citrus «Nordic Gin» 700мл | Джин премиальный citrus «Nordic Gin» 1000мл | Джин премиальный grapefruit «Nordic Gin» 700мл | Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный grapefruit «Nordic Gin» 1000мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0236 | P0545 | P0955 | P0083 | P0095,5,,0
19,хозяйст мыло,Store D,open,Household goods,200,11.2,,,,0,,0
20,power bank 20,Store E,open,Numeric suffix,200,17.7,Power Bank 20000mAh «PowerStack» 1шт | Power Bank 20000mAh «HyperCell» 1шт | Power Bank 20000mAh «VoltEdge» 1шт | Power Bank slim «HyperCell» 1шт | Power Bank 65W «VoltEdge» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0714 | P0122 | P0197 | P0068 | P0172,5,,1
