idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
11,холс,,,Zero-hit regression we track,200,9.2,,,,0,,
12,хозяйст м,,,Captures stemmed nouns,200,35.7,Мука пшеничная HoReCa 25 кг «Старый Мельник» 900г | Мука пшеничная цельнозерновая «Старый Мельник» 900г | Мука пшеничная HoReCa 25 кг «Старый Мельник» 5кг | Энергетический напиток маракуйя «Volt» 500мл | Пакеты для мусора 60л «StrongHold» 30шт,Бакалея | Бакалея | Бакалея | Напитки | Хозяйственные товары,P0002 | P0446 | P0892 | P0003 | P0005,10,,
13,крем д рук,,,Squeezed prepositions/words,200,17.6,Крем для рук антибактериальный «Atelier Skin» 50мл | Крем для рук коллаген «Atelier Skin» 50мл | Крем для рук коллаген «Herbal Line» 100мл | Крем для рук питательный «Care&Go» 100мл | Крем для рук антибактериальный «Care&Go» 150мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0018 | P0130 | P0202 | P0365 | P0400,10,,
14,кар тоф,,,Space inside word,200,8.4,Шоколад премиальный с карамелью «Nordic Choco» 200г | Шоколад премиальный с карамелью «Nordic Choco» 80г,Кондитерские изделия | Кондитерские изделия,P0379 | P0388,2,,
15,xfq,,,Keyboard layout swap (ч = x),200,16.9,Чай листовой чёрный «Samokat» 90г | Чай листовой матча «Ahmad» 75г | Чай листовой улун «Ahmad» 250г | Чай листовой жасмин «Greenfield» 250г | Чай листовой жасмин «Greenfield» 75г,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай,P0105 | P0207 | P0276 | P0307 | P0337,10,,
16,xfqd crfxf,,,Entire phrase mis-keyboarded,200,11.0,,,,0,,
17,adapter usb c,,,Latin alphanumeric,200,41.8,Адаптер USB-C 65W «ChargeLab» 1шт | Кабель USB-C 1м «ChargeLab» 1шт | Адаптер USB-C 65W «ChargeLab» 1шт | Адаптер USB-C gan «ChargeLab» 1шт | Кабель USB-C 1м «ChargeLab» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0045 | P0321 | P0512 | P0695 | P0916,10,,
18,power bank 20,,,Number suffix as intent,200,14.0,Power Bank 20000mAh «HyperCell» 1шт | Power Bank 20000mAh «VoltEdge» 1шт | Power Bank 20000mAh «PowerStack» 1шт | Power Bank slim «HyperCell» 1шт | Power Bank wireless «HyperCell» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0122 | P0197 | P0714 | P0068 | P0100,10,,
19,cat steril,,,Sourced from Samokat/Dixy logs,200,14.2,Корм для кошек сухой sterilised «PerfectTail» 400г | Корм для кошек сухой sterilised «PerfectTail» 10кг | Корм для кошек сухой sterilised «CatCraft» 5кг | Корм для кошек сухой adult «NordPet» 1500г | Корм для кошек сухой adult «NordPet» 400г,Зоотовары | Зоотовары | Зоотовары | Зоотовары | Зоотовары,P0022 | P0158 | P0634 | P0251 | P0772,10,,
20,dog hypo,,,Shorter than real phrase,200,15.0,Корм для собак гипоаллергенный grain free «VetPro» 1500г | Корм для собак гипоаллергенный salmon «NordPet» 1500г | Корм для собак гипоаллергенный salmon «NordPet» 800г | Корм для собак гипоаллергенный grain free «VetPro» 1500г | Корм для собак гипоаллергенный medium «VetPro» 1500г,Зоотовары | Зоотовары | Зоотовары | Зоотовары | Зоотовары,P0082 | P0138 | P0148 | P0212 | P0275,10,,
21,diap night,,,Common for zero-hits,200,179.2,,,,0,,
22,лампа led е27,,,Roman+Kirill letters plus socket,200,42.5,Лампа LED E14 «Luma» 4шт | Лампа LED smart «BrightHome» 1шт | Лампа LED теплый «Volt» 2шт | Лампа LED E14 «BrightHome» 2шт | Лампа LED холодный «EcoLight» 4шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0155 | P0189 | P0203 | P0282 | P0427,10,,
23,мешки 120л,,,Numeric prefix for packaging,200,27.5,Пакеты для мусора 120л «CleanUp» 30шт | Пакеты для мусора 120л «DailyFix» 15шт | Пакеты для мусора 120л «StrongHold» 50шт | Пакеты для мусора 120л «DailyFix» 30шт | Пакеты для мусора 120л «CleanUp» 20шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0216 | P0580 | P0607 | P0722 | P0898,5,,
24,санпел,,,Harsh truncation of sparkling brand,200,13.2,Минеральная вода citrus «San Pellegrino» 1.5л,Напитки,P0789,1,,
25,джин то,,,Needs partial matching on 2nd term,200,20.8,Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный botanical «Volt Spirit» 700мл | Джин премиальный citrus «Nordic Gin» 700мл | Джин премиальный botanical «Garage Barrel» 500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0083 | P0095 | P0178 | P0236 | P0403,10,,
