idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
11,riesling mos,Store F,open,Region-specific wine,200,111.9,Вино игристое riesling mosel «Mosel Craft» 1500мл | Вино игристое riesling mosel «Mosel Craft» 750мл | Вино игристое riesling mosel «Rieslinghaus» 750мл | Вино игристое riesling mosel «Rieslinghaus» 1500мл | Вино игристое riesling mosel «Premium Cellar» 750мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0125 | P0447 | P0233 | P0759 | P0109,5,,1
12,памперсы 3,Store D,open,Size constraint,200,51.1,Подгузники детские размер 2 «PampKids» 32шт | Подгузники детские размер 3 «EcoBaby» 32шт | Подгузники детские размер 2 «EcoBaby» 32шт | Подгузники детские premium «Huggsy» 26шт | Подгузники детские для чувствительной кожи «Huggsy» 60шт,Детские товары | Детские товары | Детские товары | Детские товары | Детские товары,P0300 | P0682 | P0704 | P0030 | P0071,5,,1
13,масло сл,Store A,open,Two-letter stop,200,95.5,Масло сливочное безлактозное «Teos» 1кг | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное фермерское «Teos» 225г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0116 | P0544 | P0713 | P0809 | P0944,5,,1
14,филе инд,Store A,open,Protein intent,200,39.0,Филе грудки индейки HoReCa «FarmLine» 5кг | Филе грудки индейки в маринаде «ProteinPro» 700г | Филе грудки индейки для стейков «ProteinPro» 700г | Филе грудки индейки охлажденное «ProteinPro» 5кг | Филе грудки индейки HoReCa «FarmLine» 700г,Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица,P0004 | P0135 | P0195 | P0288 | P0291,5,,1
15,teos,Store A,open,Brand prefix,200,42.9,Масло сливочное безлактозное «Teos» 1кг | Йогурт греческий персик «Teos» 900г | Йогурт греческий черника «Teos» 140г | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0116 | P0284 | P0304 | P0544 | P0713,5,,1
16,греч не,Store C,open,Cyrillic split,200,20.4,Крупа гречневая HoReCa «EcoBag» 15кг | Крупа гречневая HoReCa «EcoBag» 800г | Крупа гречневая HoReCa «EcoBag» 15кг | Крупа гречневая organic «EcoBag» 5кг | Крупа гречневая ядрица «GrainLab» 15кг,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0245 | P0274 | P0395 | P0396 | P0996,5,,1
17,prosecco ro,Store F,open,Latin multi-word,200,19.8,Вино игристое rose «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 750мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0292 | P0110 | P0183 | P0090 | P0643,5,,1
18,джин то,Store F,open,Cocktail ingredient,200,18.2,Масло оливковое Classico «La Toscana» 750мл | Масло оливковое для жарки «La Toscana» 250мл | Масло оливковое для салатов «La Toscana» 250мл | Масло оливковое для жарки «La Toscana» 500мл | Масло оливковое Extra Virgin «La Toscana» 1000мл,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0387 | P0561 | P0706 | P0945 | P0355,5,,0
19,хозяйст мыло,Store D,open,Household goods,200,46.9,Перчатки одноразовые l «SafeTouch» 200шт | Перчатки одноразовые l «SafeTouch» 200шт | Перчатки одноразовые m «Medico» 200шт | Перчатки одноразовые m «SafeTouch» 100шт | Перчатки одноразовые s «CleanLab» 100шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0220 | P0223 | P0286 | P0535 | P0886,5,,0
20,power bank 20,Store E,open,Numeric suffix,200,23.8,Power Bank 20000mAh «PowerStack» 1шт | Power Bank 20000mAh «HyperCell» 1шт | Power Bank 20000mAh «VoltEdge» 1шт | Power Bank slim «PowerStack» 1шт | Power Bank slim «HyperCell» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0714 | P0122 | P0197 | P0925 | P0068,5,,1
